"","cust_id","first_name","last_name","cust_email","password","cust_birth_date","block_num","postcode","address_type","cust_telephone"
"1","cust01","Nachet","Miller","Miller.Nachet@gmail.com","g9799a8z",1996-10-20,"Y73","CV230UR","Office","0752612886"
"2","cust02","Dominic","Saucedo","Saucedo.Dominic@gmail.com","bU58Pi9D",1952-11-13,"U34","CV119LX","Home","0753096751"
"3","cust03","Ta'Sheena","Wheeler","Wheeler.Ta'Sheena@gmail.com","9pAVpCmU",1958-01-06,"Z37","CV313JX","Office","0750467468"
"4","cust04","Ghaada","al-Rashed","al-Rashed.Ghaada@gmail.com","5Y3lJkZT",1960-12-17,"F95","CV116SG","Office","0756980901"
"5","cust05","Mufeeda","el-Akbari","el-Akbari.Mufeeda@gmail.com","d8kpCNjW",1958-12-16,"W49","CV330DA","Office","0757651010"
"6","cust06","Jordynn","Parsons","Parsons.Jordynn@gmail.com","zpMcLkHb",1973-08-06,"Q35","CV8 2PQ","Home","0756232432"
"7","cust07","Faith","Garcia","Garcia.Faith@gmail.com","iaUT85IO",2005-09-17,"X99","CV325XY","Office","0756513244"
"8","cust08","Shellie","Lubar","Lubar.Shellie@gmail.com","xBseDjzJ",1977-04-02,"Y02","CV326PJ","Office","0758285369"
"9","cust09","Ae","Yee","Yee.Ae@gmail.com","siUQuygz",1947-06-14,"F21","CV345DS","Office","0752802417"
"10","cust10","Keanna","Wilson","Wilson.Keanna@gmail.com","SuyO5UfA",1997-05-07,"Y61","CV2 2QZ","Office","0750028467"
"11","cust11","Isaiah","Miller","Miller.Isaiah@gmail.com","pRRW1QXp",1970-11-18,"W42","CV100RS","Office","0753364168"
"12","cust12","Seth","Hunker","Hunker.Seth@gmail.com","qk2SrXjb",1987-08-03,"Q28","CV358HP","Office","0753701014"
"13","cust13","Courtney","Kelly","Kelly.Courtney@gmail.com","83YKKR0T",1987-08-03,"J65","CV1 3TT","Office","0750634997"
"14","cust14","Celestina","Torres","Torres.Celestina@gmail.com","xTmiJ62y",1962-10-04,"V21","CV378DX","Office","0754071018"
"15","cust15","Angelica","Canada Jr","Canada Jr.Angelica@gmail.com","GZSfqxMi",1970-12-29,"T49","CV1 5PJ","Office","0757802149"
"16","cust16","Micahi","Johnson","Johnson.Micahi@gmail.com","rx4jJtAf",1972-01-22,"G48","CV226TR","Office","0752748730"
"17","cust17","Breanna","Hemlock","Hemlock.Breanna@gmail.com","jg1L9UBR",1952-11-13,"F66","CV364EJ","Office","0758357985"
"18","cust18","Sivilize","Potluri","Potluri.Sivilize@gmail.com","TmbsFrSp",1970-11-18,"P04","CV6 5LX","Home","0757547223"
