"","cust_id","first_name","last_name","cust_email","password","cust_birth_date","block_num","postcode","address_type","cust_telephone"
<<<<<<< HEAD
"1","cust51","Gina","Li","Li.Gina@gmail.com","PU4BBUnu","15-06-1996","Z56","CV1 1FQ","Office","0759807100"
"2","cust52","Raamiz","al-Usman","al-Usman.Raamiz@gmail.com","Cn4qZwYp","31-12-1985","R69","CV2 1LY","Office","0750744328"
"3","cust53","William","Sandoval","Sandoval.William@gmail.com","946xGxaO","20-04-1983","P88","CV348BP","Home","0751183233"
"4","cust54","Alyssa","Banisch","Banisch.Alyssa@gmail.com","czNa2ex0","15-12-2004","W55","CV108AS","Home","0759704693"
"5","cust55","Nassaar","el-Fadel","el-Fadel.Nassaar@gmail.com","pABF6KgG","20-11-1969","M27","CV3 9NB","Home","0757754387"
"6","cust56","Radiyya","al-Shams","al-Shams.Radiyya@gmail.com","oWKOcoOY","29-11-1951","L72","CV364JF","Home","0758473976"
"7","cust57","La-Deige","Brown","Brown.La-Deige@gmail.com","gEPdXm79","08-06-1995","H20","CV120AS","Home","0753834569"
"8","cust58","Kyle","Baughman","Baughman.Kyle@gmail.com","cfYs6qDv","21-04-1971","L35","CV6 4AD","Office","0756889238"
"9","cust59","Musaddiq","el-Bilal","el-Bilal.Musaddiq@gmail.com","2o4hBQ4W","15-06-1996","M73","CV212SR","Home","0756340109"
"10","cust60","Michael","Kicak","Kicak.Michael@gmail.com","IVkUSyYi","31-12-1985","B88","CV115YP","Home","0757164276"
"11","cust61","Jerod","Mrazik","Mrazik.Jerod@gmail.com","MeZJxYEu","18-09-1980","I91","CV376TB","Office","0750462555"
"12","cust62","Adam","Martinez","Martinez.Adam@gmail.com","nvwXuMKq","24-02-2003","W34","CV6 9AU","Home","0750248188"
"13","cust63","Alicia","Martinez","Martinez.Alicia@gmail.com","qHCqbapC","10-05-1956","N06","CV2 3FS","Office","0755998386"
"14","cust64","Mikayla","Rios","Rios.Mikayla@gmail.com","1RcfcgqR","14-07-1944","K53","CV8 1EB","Home","0756557283"
"15","cust65","Michael","Diaz-Arias","Diaz-Arias.Michael@gmail.com","2h2XYoTz","20-11-1969","Q57","CV107JU","Home","0758771911"
"16","cust66","Razeena","al-Sami","al-Sami.Razeena@gmail.com","NuMFhFNQ","28-12-1983","J78","CV325XT","Home","0754522611"
"17","cust67","Tam","Nietes","Nietes.Tam@gmail.com","mo3zyzn5","12-02-1952","I09","CV116ET","Office","0755334809"
"18","cust68","Tahiyya","al-Kalil","al-Kalil.Tahiyya@gmail.com","F7pcp8jS","17-04-1948","F29","CV5 6XN","Office","0752029486"
"19","cust69","Danielle","Stimpson","Stimpson.Danielle@gmail.com","KhZwTgM9","08-06-1995","X50","CV330QT","Home","0751573479"
"20","cust70","Katherine","Lichen","Lichen.Katherine@gmail.com","m8KzetMk","22-12-1981","Y37","CV344HB","Home","0758626169"
"21","cust71","Taku","Suresh","Suresh.Taku@gmail.com","J0Wd9Byb","07-09-1989","X85","CV325HE","Office","0754571005"
"22","cust72","Abrielle","Ramirez","Ramirez.Abrielle@gmail.com","gmVY8RbN","29-11-1951","P41","CV3 6LR","Office","0752841948"
"23","cust73","Mitchell","Wellington","Wellington.Mitchell@gmail.com","ECS8UHPi","07-09-1989","H10","CV2 2BH","Home","0753851646"
"24","cust74","Luke","Holloway","Holloway.Luke@gmail.com","eQnSixeY","13-12-1995","P04","CV325SS","Home","0757365298"
"25","cust75","Matthew","Huynh","Huynh.Matthew@gmail.com","UION7YQL","21-06-1944","C31","CV313QW","Office","0759961326"
"26","cust76","Jordan","Wallace","Wallace.Jordan@gmail.com","dHCtd697","08-04-1960","Q40","CV371TA","Office","0756476588"
"27","cust77","Joshua","Hernandez","Hernandez.Joshua@gmail.com","UDDaP2jk","15-12-2004","Y37","CV319HZ","Office","0754331654"
"28","cust78","Blake","Randolph","Randolph.Blake@gmail.com","0Uy9YIsJ","23-10-1966","G00","CV346GB","Office","0755564098"
"29","cust79","Safaaa","al-Momin","al-Momin.Safaaa@gmail.com","txIsb9j0","20-04-1983","H00","CV324ZT","Office","0759411342"
"30","cust80","Brady","Coyote","Coyote.Brady@gmail.com","bdr5aspr","06-12-2001","X10","CV365NH","Office","0750154658"
"31","cust81","Intisaar","el-Bagheri","el-Bagheri.Intisaar@gmail.com","JCteNm4p","13-10-1993","G93","CV109EW","Home","0751467745"
"32","cust82","Bishop","Dechasa","Dechasa.Bishop@gmail.com","Hatvxic1","05-03-2001","F09","CV5 7HN","Home","0758210269"
