"","shipment_id","order_id","prod_id","delivery_departed_date","delivery_received_date","est_delivery_date","shipper_name","delivery_recipient","delivery_fee","delivery_status"
"1","sm1","o560","prod06",NA,NA,NA,"DHL","Brianna",5,"Not Started"
"2","sm2","o562","prod07","07-03-2024",NA,"08-03-2024","DHL","James",5,"Delayed"
"3","sm3","o589","prod03","07-03-2024",NA,"08-03-2024","DHL","Mariah",5,"Failed to contact"
"4","sm4","o547","prod06","16-03-2024",NA,"17-03-2024","DHL","Jamal",5,"Delayed"
"5","sm5","o510","prod04","06-03-2024",NA,"07-03-2024","DHL","Desiree",5,"In Progress"
"6","sm6","o578","prod03","12-03-2024","13-03-2024","13-03-2024","DHL","Chuan-Kun",5,"Delivered"
"7","sm7","o530","prod09","11-03-2024",NA,"12-03-2024","DHL","Matthew",5,"Delayed"
"8","sm8","o584","prod02","20-03-2024",NA,"21-03-2024","DHL","Kamaaluddeen",5,"Failed to contact"
"9","sm9","o540","prod03","07-03-2024","08-03-2024","08-03-2024","DHL","Daifallah",5,"Delivered"
"10","sm10","o591","prod02",NA,NA,NA,"DHL","Zachary",5,"Not Started"
"11","sm11","o552","prod02",NA,NA,NA,"DHL","Muzna",5,"Not Started"
"12","sm12","o534","prod03",NA,NA,NA,"DHL","Robinson",5,"Not Started"
"13","sm13","o541","prod05","05-03-2024",NA,"06-03-2024","DHL","Kayla",5,"Delayed"
"14","sm14","o598","prod01","15-03-2024",NA,"16-03-2024","DHL","Jeromy",5,"In Progress"
"15","sm15","o558","prod06","05-03-2024",NA,"06-03-2024","DHL","Franklin",5,"Delayed"
"16","sm16","o501","prod12",NA,NA,NA,"DHL","Zoe",5,"Not Started"
"17","sm17","o516","prod06",NA,NA,NA,"DHL","Aaron",5,"Not Started"
"18","sm18","o523","prod09",NA,NA,NA,"DHL","Tecumseh",5,"Not Started"
"19","sm19","o590","prod15",NA,NA,NA,"DHL","Latasha",5,"Not Started"
"20","sm20","o516","prod01",NA,NA,NA,"DHL","Aaron",5,"Not Started"
"21","sm21","o566","prod10",NA,NA,NA,"DHL","Damion",5,"Not Started"
"22","sm22","o585","prod03","16-03-2024","17-03-2024","17-03-2024","DHL","Ashley",5,"Delivered"
"23","sm23","o536","prod01","16-03-2024",NA,"17-03-2024","DHL","Layaali",5,"In Progress"
"24","sm24","o543","prod04","13-03-2024",NA,"14-03-2024","DHL","Kyra",5,"In Progress"
"25","sm25","o526","prod04","16-03-2024",NA,"17-03-2024","DHL","Justina",5,"Failed to contact"
"26","sm26","o534","prod07",NA,NA,NA,"DHL","Robinson",5,"Not Started"
"27","sm27","o522","prod07","04-03-2024",NA,"05-03-2024","DHL","Abdul Lateef",5,"Delayed"
"28","sm28","o544","prod04",NA,NA,NA,"DHL","Majdiyya",5,"Not Started"
"29","sm29","o548","prod13","07-03-2024",NA,"08-03-2024","DHL","Haseeb",5,"Failed to contact"
"30","sm30","o591","prod12",NA,NA,NA,"DHL","Zachary",5,"Not Started"
"31","sm31","o525","prod13","11-03-2024","12-03-2024","12-03-2024","DHL","Jevon",5,"Delivered"
"32","sm32","o504","prod01","13-03-2024",NA,"14-03-2024","DHL","Tara",5,"Delayed"
"33","sm33","o588","prod07","05-03-2024","06-03-2024","06-03-2024","DHL","Andrea",5,"Delivered"
"34","sm34","o593","prod06","11-03-2024","12-03-2024","12-03-2024","DHL","Dvaris",5,"Delivered"
"35","sm35","o582","prod04","16-03-2024","17-03-2024","17-03-2024","DHL","Raul",5,"Delivered"
"36","sm36","o569","prod12",NA,NA,NA,"DHL","Alexander",5,"Not Started"
"37","sm37","o565","prod02",NA,NA,NA,"DHL","Awad",5,"Not Started"
"38","sm38","o543","prod06","13-03-2024",NA,"14-03-2024","DHL","Kyra",5,"In Progress"
"39","sm39","o527","prod01","05-03-2024",NA,"06-03-2024","DHL","Jasmine",5,"Delayed"
"40","sm40","o560","prod08",NA,NA,NA,"DHL","Brianna",5,"Not Started"
"41","sm41","o507","prod11","18-03-2024","19-03-2024","19-03-2024","DHL","Mariesha",5,"Delivered"
"42","sm42","o565","prod17",NA,NA,NA,"DHL","Awad",5,"Not Started"
"43","sm43","o562","prod07","07-03-2024","08-03-2024","08-03-2024","DHL","James",5,"Delivered"
"44","sm44","o580","prod14","12-03-2024",NA,"13-03-2024","DHL","Rennosuke",5,"In Progress"
"45","sm45","o507","prod11","18-03-2024","19-03-2024","19-03-2024","DHL","Mariesha",5,"Delivered"
"46","sm46","o509","prod05",NA,NA,NA,"DHL","Tommy",5,"Not Started"
"47","sm47","o567","prod13","07-03-2024",NA,"08-03-2024","DHL","Nikisha",5,"Delayed"
"48","sm48","o557","prod12",NA,NA,NA,"DHL","Daonna",5,"Not Started"
"49","sm49","o566","prod07",NA,NA,NA,"DHL","Damion",5,"Not Started"
"50","sm50","o552","prod10",NA,NA,NA,"DHL","Muzna",5,"Not Started"
"51","sm51","o587","prod08","12-03-2024",NA,"13-03-2024","DHL","Seth",5,"Delayed"
"52","sm52","o504","prod11","13-03-2024","14-03-2024","14-03-2024","DHL","Tara",5,"Delivered"
"53","sm53","o597","prod11","04-03-2024",NA,"05-03-2024","DHL","Michael",5,"Delayed"
"54","sm54","o579","prod12",NA,NA,NA,"DHL","Alayna",5,"Not Started"
"55","sm55","o577","prod09","11-03-2024",NA,"12-03-2024","DHL","Michaela",5,"Failed to contact"
"56","sm56","o532","prod15",NA,NA,NA,"DHL","Dyami",5,"Not Started"
"57","sm57","o506","prod17","11-03-2024",NA,"12-03-2024","DHL","Franchi",5,"In Progress"
"58","sm58","o595","prod12","20-03-2024","21-03-2024","21-03-2024","DHL","Ashley",5,"Delivered"
"59","sm59","o541","prod18","05-03-2024",NA,"06-03-2024","DHL","Kayla",5,"In Progress"
"60","sm60","o510","prod03","06-03-2024",NA,"07-03-2024","DHL","Desiree",5,"Delayed"
